Id,Date,Text
1432237055157968897,2021-08-30 07:01:38,@flakita_limones @shani_btc Mía cambia el @ horita t debo la vida
1432236765096591364,2021-08-30 07:00:29,El BCIE busca consultora que lo ayude a la implementación de Bitcoin en El Salvador https://t.co/PxzQ8LUCYs
1432236761158139906,2021-08-30 07:00:28,"Ciudadano venezolano finge secuestro para estafar $1,150,000 en Bitcoin https://t.co/sSNp9yXjAY"
1432236747237302273,2021-08-30 07:00:24,"Top 10 criptonoticias: MicroStrategy compra 3,907 BTC, España, Cuba y criptomonedas, Adam Back proyecta BTC a $100 mil… https://t.co/SuZESNHsu4"
1432236676932382725,2021-08-30 07:00:08,"El precio del Bitcoin al momento ---&gt;$969,614.68 MXN, y el precio del Ether al momento ---&gt; $64,068.20 MXN, #bitcoin #criptomonedas #trading #volatilidad #pypro $BTC $ETH"
1432236665146421253,2021-08-30 07:00:05,"@SaulDimas5 @Edrivas32 @MrCuchilla @EliasDimas514 @chivowallet @nayibbukele @sociedadcivilsv @waraujo64 @EscalanteSv @franfuentessv @XZablah Entonces, ellos no necesitan el bitcoin que es una moneda *desintralizada* eso significa que no responde a la economía de un paíz o estado, sino que responde al mercado, lo cual hace que si beneficie a países en vías de desarrollo como nosotros."
1432236660759187458,2021-08-30 07:00:04,"Precio: $969,614.68
Fuente: @Bitso #Bitso #BTCMXN $btc
Hora: 2021-08-30 02:00:03 (GMT-6)"
1432236654677446660,2021-08-30 07:00:02,"Precio actual del #Bitcoin, #Ethereum y #Ripple

 1 $USD  = $20.21 MXN
 1 $BTC = $969,614.68 MXN
 1 $ETH = $64,068.20 MXN
 1 $XRP = $22.83 MXN
 1 $LTC = $3,483.18 MXN
 1 $BCH = $13,074.67 MXN

Compra y Vende Bitcoin, Ethereum y Ripple desde aquí: https://t.co/EgcahDQQRb https://t.co/rXaqPs5bhg"
1432236653289033728,2021-08-30 07:00:02,España: Nuevo servicio facilita la compraventa de inmuebles con bitcoin https://t.co/j2NcG7NbTW #MercadoInmobiliario #BTC
1432236365484371969,2021-08-30 06:58:53,"@SaulDimas5 @Edrivas32 @MrCuchilla @EliasDimas514 @chivowallet @nayibbukele @sociedadcivilsv @waraujo64 @EscalanteSv @franfuentessv @XZablah El burro hablando de orejas. Sabe por qué los países desarrollados no implementan el bitcoin? No lo hacen porque ellos ya tienen fuerza economica con sus propias monedas, como en el caso de la Unión Europea con el euro, el caso de China con su yuan, etc."
1432235940689420289,2021-08-30 06:57:12,"¿Qué es un Bitcoin?
El #Bitcoin es una de las criptomonedas más conocidas en el mundo. 
Pero, ¿sabes qué es una #criptomoneda? 
Toda la información en nuestro Linkedin: https://t.co/YVxYfUgRq9 https://t.co/DEgIvITAWS"
1432235743582248962,2021-08-30 06:56:25,@electo_mania Parece el Bitcoin con los picos
1432235667388575746,2021-08-30 06:56:07,"@eeliseosanchez @MarioVasquezSV @NewIzquierda @nayibbukele Y si en vez de suponer un futuro malo, se espera a que las cosas tomen su curso? Ya si la puesta en marcha del bitcoin no le parece, entonces ahí ya toma una postura más definida. Y no lo tome como ataque, mas bien como un consejo"
1432235435980374019,2021-08-30 06:55:12,En simple: #bitcoin sube 5 y baja 2. Y así...
1432235173035319297,2021-08-30 06:54:09,"@FMLNoficial @oscarortizsv @Angel_MongeSV Desde el momento que una de sus Diputadas sale diciendo que el Bitcoin es para ""chivear"" se ve que ustedes están perdidos. 
Ya dejen progresar al pueblo Salvadoreño, ya déjense de engaños."
1432234670725349379,2021-08-30 06:52:09,"A mi y a miles que somos Diáspora, está multitud de gente 🥴 NO NOS REPRESENTAN. 

La mayoría de la Diáspora,  SI APOYAMOS AL #Bitcoin @chivowallet 

Estamos con el presidente @nayibbukele 🇸🇻 https://t.co/4sO29IW7RA"
1432234534104358915,2021-08-30 06:51:37,El bitcoin se encuentra sumido en una tendencia de precios lateral. https://t.co/yjqWpTEpbq
1432234504656130050,2021-08-30 06:51:30,@VisaCancelada @Noalospoliticos Claramente es delito dañar bienes de quien sea. El bitcoin si tiene el potencial de sacar al país del hoyo fiscal y atraso económico.  Porque atacar eso? Solo por atacar al gobierno. Muchos seguramente nos parecía un sueño que el gobierno actuara así de rápido.
1432234316499722246,2021-08-30 06:50:45,"Cubriendo los Shorts en $BTC para asegurar ganancias, espero una mayor caida estos días. https://t.co/txRLGQTmKL"
1432233875602804736,2021-08-30 06:49:00,"▶️ Llegó #IbotLife con Inteligencia Artificial, te permite hacer trading en el par BTC/ADA #Cardano, de manera automática.  Más informacion: 👉https://t.co/wD2zUjJetG

#IA
#Kaxzimva
#Bitcoin
#CardanoCommunity https://t.co/7VEs8aEhFy"
1432233869391007747,2021-08-30 06:48:58,@ChristianDiffer Yo digo SI al Bitcoin!!
1432233798545117187,2021-08-30 06:48:41,"@deloreankt dependenderá de la rotura o no de esa diagonal. Si no, BTC y arriba a gusto. Buen día Marc. Abzs"
1432233730983096320,2021-08-30 06:48:25,@RiverPosner @JasonTonyCali @Finn_BTC @bengbengp2e woww bro
1432233702713667585,2021-08-30 06:48:18,Y a la @FCristales le van a pagar en bicuits con atún o en bitcoin??
